# CVS $Revision: $ $Author: $ -- Sat Mar 10 15:23:14 2012 -- reformated by prettylst.pl v1.39 (build 15052)
SOURCELONG:Is This It	SOURCESHORT:Is This It	SOURCEDATE:2007-03
#Andrew's Custom Deities List
# Deity Name		Output Name					Domains													Desciption of Deity/Title																				Holy Item									Deity Weapon					Alignment	Pantheon				Modify VAR						Define
#A Test			SORTKEY:ELF_Gods_a	OUTPUTNAME:A, Test			DOMAINS:ALL|PREALIGN:LG,LN,LE										DESC:The Test																																DEITYWEAP:Quarterstaff				ALIGN:TN	PANTHEON:Test


##KERCPA DEITY:
# Deity Name		Output Name					Domains													Desciption of Deity/Title																				Holy Item									Deity Weapon					Alignment	Pantheon				Modify VAR						Define					SORTKEY
Earth Goddess								DOMAINS:ANY|PREALIGN:NG,TN,CG										DESC:The Earth Goddess is worshipped by the reclusive Kercpas. All Kercpa revere the Earth Goddess but have very few religious ceremonies.																		ALIGN:CG																			SORTKEY:Custom

TEST										DOMAINS:ANY																																																						ALIGN:LG																			SORTKEY:Custom


SOURCELONG:Player's Handbook	SOURCESHORT:PHB	SOURCEDATE:2003-09
###Base PHB Deities:
Boccob			OUTPUTNAME:Boccob				DOMAINS:ANY|PREALIGN:LN,NG,TN,NE,CN																																																		ALIGN:TN	PANTHEON:Base																SORTKEY:Base_Gods_a
# TODO: Fix Boccob Domains.
Corellon Larethian	OUTPUTNAME:Corellon Larethian		DOMAINS:Chaos,Good,Protection,War|PREALIGN:NG,CG,NG																																															ALIGN:CG	PANTHEON:Base																SORTKEY:Base_Gods_a
Ehlonna			OUTPUTNAME:Ehlonna			DOMAINS:Animal,Good,Plant,Sun|PREALIGN:LG,NG,CG																																																ALIGN:NG	PANTHEON:Base																SORTKEY:Base_Gods_a
Erythnul			OUTPUTNAME:Erythnul			DOMAINS:Chaos,Evil,Trickery,War|PREALIGN:NE,CN,CE																																															ALIGN:CE	PANTHEON:Base																SORTKEY:Base_Gods_a
Fharlanghn			OUTPUTNAME:Fharlanghn			DOMAINS:Luck,Protection|PREALIGN:LN,NG,TN,NE,CN																																																ALIGN:TN	PANTHEON:Base																SORTKEY:Base_Gods_a
Garl Glittergold		OUTPUTNAME:Garl Glittergold		DOMAINS:Good,Protection,Trickery|PREALIGN:LG,NG,CG																																															ALIGN:NG	PANTHEON:Base																SORTKEY:Base_Gods_a
Gruumsh			OUTPUTNAME:Gruumsh			DOMAINS:Chaos,Evil,Strength,War|PREALIGN:NE,CN,CE																																															ALIGN:CE	PANTHEON:Base																SORTKEY:Base_Gods_a
Heironeous			OUTPUTNAME:Heironeous			DOMAINS:Good,Law,War|PREALIGN:LG,LN,NG																																																	ALIGN:LG	PANTHEON:Base																SORTKEY:Base_Gods_a
Hector			OUTPUTNAME:Hector				DOMAINS:Destruction,Evil,Law,War|PREALIGN:LN,LE,NE																																															ALIGN:LE	PANTHEON:Base																SORTKEY:Base_Gods_a
Kord				OUTPUTNAME:Kord				DOMAINS:Chaos,Good,Luck,Strength|PREALIGN:NG,CG,NG																																															ALIGN:CG	PANTHEON:Base																SORTKEY:Base_Gods_a
Moradin			OUTPUTNAME:Moradin			DOMAINS:Earth,Good,Law,Protection|PREALIGN:LG,LN,NG																																															ALIGN:LG	PANTHEON:Base																SORTKEY:Base_Gods_a
Nerull			OUTPUTNAME:Nerull				DOMAINS:Death,Evil,Trickery|PREALIGN:LN,NE,CN																																																ALIGN:NE	PANTHEON:Base																SORTKEY:Base_Gods_a
Obad-Hai			OUTPUTNAME:Obad-Hai			DOMAINS:Air,Animal,Earth,Fire,Plant,Water|PREALIGN:LN,NG,TN,NE,CN																																													ALIGN:TN	PANTHEON:Base																SORTKEY:Base_Gods_a
Olidammara			OUTPUTNAME:Olidammara			DOMAINS:Chaos,Luck,Trickery|PREALIGN:CG,CN,CE																																																ALIGN:CN	PANTHEON:Base																SORTKEY:Base_Gods_a
Pelor				OUTPUTNAME:Pelor				DOMAINS:Good,Healing,Strength,Sun|PREALIGN:LG,NG,CG																																															ALIGN:NG	PANTHEON:Base																SORTKEY:Base_Gods_a
St Cuthbert			OUTPUTNAME:St. Cuthbert			DOMAINS:Destruction,Law,Protection,Strength|PREALIGN:LG,LN,LE																																													ALIGN:LN	PANTHEON:Base																SORTKEY:Base_Gods_a
Vecna				OUTPUTNAME:Vecna				DOMAINS:Evil,Knowledge,Magic|PREALIGN:LN,NE,CN																																																ALIGN:NE	PANTHEON:Base																SORTKEY:Base_Gods_a
Wee Jas			OUTPUTNAME:Wee Jas			DOMAINS:Death,Law,Magic|PREALIGN:LG,LN,LE																																																	ALIGN:LN	PANTHEON:Base																SORTKEY:Base_Gods_a
Yondalla			OUTPUTNAME:Yondalla			DOMAINS:Good,Law,Protection|PREALIGN:LG,LN,NG																																																ALIGN:LG	PANTHEON:Base																SORTKEY:Base_Gods_a
#

SOURCELONG:Faerun Campaign Setting	SOURCESHORT:FRCS	SOURCEDATE:2003-01
###FAERUNIAN Deities
Azuth				OUTPUTNAME:Azuth				DOMAINS:Illusion,Knowledge,Law,Magic,Spell|PREALIGN:LG,LN,LE				DESC:The High One, Patron of Mages, Lord of Spells.																										DEITYWEAP:Quarterstaff				ALIGN:LN	PANTHEON:Faerunian															SORTKEY:Faerun_Gods_a
Bane				OUTPUTNAME:Bane				DOMAINS:Destruction,Evil,Hatred,Law,Tyranny|PREALIGN:LE,LN,NE				DESC:Deity																																	DEITYWEAP:Morningstar				ALIGN:LE	PANTHEON:Faerunian															SORTKEY:Faerun_Gods_a
Chauntea			OUTPUTNAME:Chauntea			DOMAINS:Animal,Earth,Good,Plant,Protection,Renewal|PREALIGN:LG,NG,TN,CG			DESC:Deity																																	DEITYWEAP:Scythe					ALIGN:NG	PANTHEON:Faerunian															SORTKEY:Faerun_Gods_a
Cyric				OUTPUTNAME:Cyric				DOMAINS:Chaos,Destruction,Evil,Illusion,Trickery|PREALIGN:NE,CN,CE			DESC:Deity																																	DEITYWEAP:Longsword				ALIGN:CE	PANTHEON:Faerunian															SORTKEY:Faerun_Gods_a
