# CVS $Revision: 11749 $ $Author: amaitland $ -- Wed Mar 20 16:10:53 2013 -- reformated by prettylst.pl v1.39 (build 15052)
SOURCELONG:Eclipse - The Codex Persona	SOURCESHORT:Eclipse	SOURCEWEB:http://www.lulu.com/content/435647
#Original Entry: Andrew Maitland


# RSRD Skills - Ability conversion to make any skill that is purchased with 6 or more CP a Class Skill as per Eclipse


# Ability Name								Unique Key						SORTKEY	Category of Ability		Type						Required Ability																Restricted Ability										Define																											Description																																																																																																																																																																																																																																																																	Stackable?	Multiple?	Choose																							Ability																																Bonus to Ability Pool								Modify VAR																																																																																																																																																																																					Class Skill							Source Page
Make CSKILL ~ Appraise																CATEGORY:Internal																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				CSKILL:Appraise
Make CSKILL ~ Balance																CATEGORY:Internal																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				CSKILL:Balance
Make CSKILL ~ Bluff																CATEGORY:Internal																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				CSKILL:Bluff
Make CSKILL ~ Climb																CATEGORY:Internal																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				CSKILL:Climb
Make CSKILL ~ Control Shape															CATEGORY:Internal																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				CSKILL:Control Shape
Make CSKILL ~ Concentration															CATEGORY:Internal																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				CSKILL:Concentration
Make CSKILL ~ Craft (Alchemy)															CATEGORY:Internal																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				CSKILL:Craft (Alchemy)
Make CSKILL ~ Craft (Armorsmithing)														CATEGORY:Internal																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				CSKILL:Craft (Armorsmithing)
Make CSKILL ~ Craft (Blacksmithing)														CATEGORY:Internal																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				CSKILL:Craft (Blacksmithing)
Make CSKILL ~ Craft (Bowmaking)														CATEGORY:Internal																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				CSKILL:Craft (Bowmaking)
Make CSKILL ~ Craft (Carpentry)														CATEGORY:Internal																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				CSKILL:Craft (Carpentry)
Make CSKILL ~ Craft (Leatherworking)													CATEGORY:Internal																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				CSKILL:Craft (Leatherworking)
Make CSKILL ~ Craft (Painting)														CATEGORY:Internal																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				CSKILL:Craft (Painting)
Make CSKILL ~ Craft (Pottery)															CATEGORY:Internal																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				CSKILL:Craft (Pottery)
Make CSKILL ~ Craft (Sculpting)														CATEGORY:Internal																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				CSKILL:Craft (Sculpting)
Make CSKILL ~ Craft (Shipmaking)														CATEGORY:Internal																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				CSKILL:Craft (Shipmaking)
Make CSKILL ~ Craft (Stonemasonry)														CATEGORY:Internal																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				CSKILL:Craft (Stonemasonry)
Make CSKILL ~ Craft (Trapmaking)														CATEGORY:Internal																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				CSKILL:Craft (Trapmaking)
Make CSKILL ~ Craft (Jewelry-Making)													CATEGORY:Internal																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				CSKILL:Craft (Jewelry-Making)

#Craft (Untrained)								CATEGORY:Internal	CSKILL:x1|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy(x1),Full Skill Buy(x1)
Make CSKILL ~ Craft (Weaponsmithing)													CATEGORY:Internal																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				CSKILL:Craft (Weaponsmithing)
Make CSKILL ~ Craft (Woodworking)														CATEGORY:Internal																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				CSKILL:Craft (Woodworking)
Make CSKILL ~ Decipher Script															CATEGORY:Internal																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				CSKILL:Decipher Script
Make CSKILL ~ Diplomacy																CATEGORY:Internal																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				CSKILL:Diplomacy
Make CSKILL ~ Disable Device															CATEGORY:Internal																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				CSKILL:Disable Device
Make CSKILL ~ Disguise																CATEGORY:Internal																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				CSKILL:Disguise
Make CSKILL ~ Escape Artist															CATEGORY:Internal																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				CSKILL:Escape Artist
Make CSKILL ~ Forgery																CATEGORY:Internal																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				CSKILL:Forgery
Make CSKILL ~ Gather Information														CATEGORY:Internal																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				CSKILL:Gather Information
Make CSKILL ~ Handle Animal															CATEGORY:Internal																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				CSKILL:Handle Animal
