# CVS $Revision: 11741 $ $Author: amaitland $ -- Fri May  7 14:06:38 2010 -- reformated by prettylst.pl v1.39 (build 11455)

# Class Name
CLASS:Wizard.MOD
1	PROHIBITSPELL:SCHOOL.Illusion|PREVARGTEQ:ForbidIllusion,1
1	PROHIBITSPELL:SCHOOL.Enchantment|PREVARGTEQ:ForbidEnchantment,1
1	PROHIBITSPELL:SCHOOL.Conjuration|PREVARGTEQ:ForbidConjuration,1
1	PROHIBITSPELL:SCHOOL.Evocation|PREVARGTEQ:ForbidEvocation,1
1	PROHIBITSPELL:SCHOOL.Necromancy|PREVARGTEQ:ForbidNecromancy,1
1	PROHIBITSPELL:SCHOOL.Abjuration|PREVARGTEQ:ForbidAbjuration,1
1	PROHIBITSPELL:SCHOOL.Divination|PREVARGTEQ:ForbidDivination,1
1	PROHIBITSPELL:SCHOOL.Transmutation|PREVARGTEQ:ForbidTransmutation,1

CLASS:Cleric.MOD
1	PROHIBITSPELL:SCHOOL.Illusion|PREVARGTEQ:ClericForbidIllusion,1
1	PROHIBITSPELL:SCHOOL.Enchantment|PREVARGTEQ:ClericForbidEnchantment,1
1	PROHIBITSPELL:SCHOOL.Conjuration|PREVARGTEQ:ClericForbidConjuration,1
1	PROHIBITSPELL:SCHOOL.Evocation|PREVARGTEQ:ClericForbidEvocation,1
1	PROHIBITSPELL:SCHOOL.Necromancy|PREVARGTEQ:ClericForbidNecromancy,1
1	PROHIBITSPELL:SCHOOL.Abjuration|PREVARGTEQ:ClericForbidAbjuration,1
1	PROHIBITSPELL:SCHOOL.Divination|PREVARGTEQ:ClericForbidDivination,1
1	PROHIBITSPELL:SCHOOL.Transmutation|PREVARGTEQ:ClericForbidTransmutation,1




CLASS:Wilder Divine	VISIBLE:NO	FACT:SpellType|Divine	SPELLSTAT:CHA	SPELLLIST:2|Cleric|Wizard
1	KNOWN:0,1				
2	KNOWN:0,2				
3	KNOWN:0,2				
4	KNOWN:0,2,1				
5	KNOWN:0,2,1				
6	KNOWN:0,2,1,1				
7	KNOWN:0,2,1,1			
8	KNOWN:0,2,1,1,1				
9	KNOWN:0,2,1,1,1			
10	KNOWN:0,2,1,1,1,1				
11	KNOWN:0,2,1,1,1,1			
12	KNOWN:0,2,1,1,1,1,1		
13	KNOWN:0,2,1,1,1,1,1		
14	KNOWN:0,2,1,1,1,1,1,1			
15	KNOWN:0,2,1,1,1,1,1,1		
16	KNOWN:0,2,1,1,1,1,1,1,1			
17	KNOWN:0,2,1,1,1,1,1,1,1		
18	KNOWN:0,2,1,1,1,1,1,1,1,1		
19	KNOWN:0,2,1,1,1,1,1,1,1,1	
20	KNOWN:0,2,1,1,1,1,1,1,1,2	

