Spell Name
Enfeeblement=|Enhancement=|White=|Black=|Summoning=

#Level 0
Acid Splash.MOD		CLASSES:Black=0
Arcane Mark.MOD		CLASSES:Enfeeblement=1|Enhancement=1|White=1|Black=1|Summoning=1
Cure Minor Wounds.MOD		CLASSES:
Dancing Lights.MOD		CLASSES:
Daze.MOD		CLASSES:
Detect Magic.MOD		CLASSES:
Detect Poison.MOD		CLASSES:
Disrupt Undead.MOD		CLASSES:
Flare.MOD		CLASSES:
Ghost Sound.MOD		CLASSES:
Light.MOD		CLASSES:
Mage Hand.MOD		CLASSES:
Mending.MOD		CLASSES:
Message.MOD		CLASSES:
Open/Close.MOD		CLASSES:
Prestidigitation.MOD		CLASSES:
Ray of Frost.MOD		CLASSES:
Read Magic.MOD		CLASSES:
Resistance.MOD		CLASSES:
Touch of Fatigue.MOD		CLASSES:

Level 1
Alarm.MOD		CLASSES:
Animate Rope.MOD		CLASSES:
Burning Hands.MOD		CLASSES:
Cause Fear.MOD		CLASSES:
Charm Person.MOD		CLASSES:
Chill Touch.MOD		CLASSES:
Color Spray.MOD		CLASSES:
Comprehend Language.MOD		CLASSES:

Cure Light Wounds.MOD		CLASSES:

Detect Secret Doors.MOD		CLASSES:

Detect Undead.MOD		CLASSES:
Disguise Self.MOD		CLASSES:
Endure Elements.MOD		CLASSES:

Enlarge Person.MOD		CLASSES:
Erase.MOD		CLASSES:
Expeditious Retreat.MOD		CLASSES:

Feather Fall.MOD		CLASSES:
Grease.MOD		CLASSES:
Hold Portal.MOD		CLASSES:
Hypnotism.MOD		CLASSES:
Identify.MOD		CLASSES:
Jump.MOD		CLASSES:
Mage Armor.MOD		CLASSES:
Magic Missile.MOD		CLASSES:
Mount.MOD		CLASSES:
Nystuls' Magic Aura.MOD		CLASSES:

Obscuring Mist.MOD		CLASSES:
Protection from Chaos.MOD		CLASSES:

Protection from Evil.MOD		CLASSES:

Protection from Good.MOD		CLASSES:

Protection from Law.MOD		CLASSES:

Ray of Enfeeblement.MOD		CLASSES:

Reduce Person.MOD		CLASSES:
Shield.MOD		CLASSES:
Shocking Grasp.MOD		CLASSES:
Silent Image.MOD		CLASSES:
Summon Monster I.MOD		CLASSES:

Tensor's Floating disk.MOD		CLASSES:

True Strike.MOD		CLASSES:
Unseen Servant.MOD		CLASSES:
Ventriloquism.MOD		CLASSES:
Level 2
Arcane Lock.MOD		CLASSES:
Alter Self.MOD		CLASSES:
Bear's Endurance.MOD		CLASSES:

Blindness/Deafness.MOD		CLASSES:

Blur.MOD		CLASSES:
Bulls Strength.MOD		CLASSES:
Cats Grace.MOD		CLASSES:
Command Undead.MOD		CLASSES:

