# CVS $Revision: $ $Author: $ -- Fri Oct 19 20:16:09 2012 -- reformated by prettylst.pl v1.39 (build 15052)


#ABILITYCATEGORY:Skill Training Choices			VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability		TYPE:Trainable				PLURAL:Fighter Feats		DISPLAYLOCATION:Feats
#ABILITYCATEGORY:Skill Training Single Steps		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability		TYPE:SingleSteps				PLURAL:Fighter Feats		DISPLAYLOCATION:Feats

# Ability Category					Visible		Editable or Static?	Change Pool?	Fractional values?	Category of Object		Type of Object		Plural description for UI			Display Location
ABILITYCATEGORY:Skill Training Choices		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT			TYPE:Trainable		PLURAL:Skill Training Single Choices	DISPLAYLOCATION:Feats
ABILITYCATEGORY:Skill Training Single Steps	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT			TYPE:SingleSteps		PLURAL:Skill Training Broad Choices		DISPLAYLOCATION:Feats


ABILITYCATEGORY:Flaw					VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:Flaw										DISPLAYLOCATION:Feats

ABILITYCATEGORY:Classless Feat			VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT			TYPE:nonsorted		PLURAL:Classless Feats				DISPLAYLOCATION:Feats

ABILITYCATEGORY:Weapon Proficiency			VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:WeaponProf		PLURAL:Weapon Proficiencies			DISPLAYLOCATION:Feats
#
ABILITYCATEGORY:Weapon Proficiency Broad		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:WeaponProfBroad	PLURAL:Weapon Choices Broad			DISPLAYLOCATION:Feats
ABILITYCATEGORY:Weapon Proficiency Local		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:WeaponProfLocal	PLURAL:Weapon Choices Local			DISPLAYLOCATION:Feats
ABILITYCATEGORY:Weapon Proficiency Single		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:WeaponProfSingle	PLURAL:Weapon Choices Single			DISPLAYLOCATION:Feats

ABILITYCATEGORY:Armor Proficiency			VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:ArmorProf		PLURAL:Armor Choices				DISPLAYLOCATION:Feats
#
ABILITYCATEGORY:Armor Proficiency Local		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:ArmorProfLocal	PLURAL:Armor Choices Local			DISPLAYLOCATION:Feats
ABILITYCATEGORY:Armor Proficiency Single		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:ArmorProfSingle	PLURAL:Armor Choices Single			DISPLAYLOCATION:Feats
