# CVS $Revision: $ $Author: $ -- Wed Mar 20 16:10:53 2013 -- reformated by prettylst.pl v1.39 (build 15052)
SOURCELONG:classless	SOURCESHORT:cles
#Original Entry: Andrew Maitland

# CVS $Revision: $ $Author: $ -- Mon Aug 25 14:14:53 2008 -- reformated by prettylst.pl v1.38 (build 7302)
### MAIN SRD SPELLS - REVISED TO MY STANDARDS
###Block: AB
SOURCELONG:Is This It	SOURCESHORT:Is This It	SOURCEDATE:2007-03

#################################
###	BOOKS IN PLAY:	###
###	Player's Handbook	###
###	Spell Compendium	###
###	Player's Handbook II	###
#################################

### MAIN RSRD SPELLS - REVISED TO MY STANDARDS
### Named spells (Tasha, Mordenkainen, etc all included again visa vi OUTPUTNAME tags so as not to make inclusion of the old spells in use by older created PCs a hassle to update. This means that the original spell name is kept 'Acid Arrow' will still be in the list, but the new name will be Melf's Acid Arrow. Therefore, only the PC will require reprinting to get the new spell name. It also won't break existing builds based on the RSRD
SOURCELONG:Player's Handbook	SOURCESHORT:PHB	SOURCEDATE:2003-09



# Spell Name			Classes of caster										Multiple Requirements
Acid Fog.MOD			CLASSES:Sorcery,Wizardry=6								PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Acid Splash.MOD			CLASSES:Sorcery,Wizardry=0								PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery]
Aid.MOD				CLASSES:Canonry=2										PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Canonry]
Air Walk.MOD			CLASSES:Canonry,Wicca ~ Advanced=4							PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Canonry,Advanced Wicca]
Alarm.MOD				CLASSES:Wicca,Wizardry=1								PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Basic Wizardry,Basic Sorcery,Basic Wicca]
Align Weapon.MOD			CLASSES:Canonry=2										PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Canonry]
Alter Self.MOD			CLASSES:Sorcery,Wizardry=2								PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Basic Wizardry,Basic Sorcery]
Analyze Dweomer.MOD		CLASSES:Sorcery,Wizardry=6								PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Basic Wizardry,Basic Sorcery]
Animal Growth.MOD			CLASSES:Sorcery,Wicca,Wizardry=5							PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Wizardry,Advanced Sorcery,Basic Wicca]
Animal Messenger.MOD		CLASSES:Wicca=1|Wicca ~ Advanced,Wizardry=2					PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Basic Wizardry,Basic Sorcery,Basic Wicca]
Animal Shapes.MOD			CLASSES:Wicca ~ Advanced=8								PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Advanced Wicca]
Animal Trance.MOD			CLASSES:Sorcery,Wicca ~ Advanced,Wizardry=2					PREMULT:1,[!PRECLASS:1,Classless=1],[PREFEAT:1,Basic Wizardry,Basic Sorcery,Advanced Wicca]
