# CVS $Revision: $ $Author: $ -- Wed Dec  3 23:06:11 2008 -- reformated by prettylst.pl v1.38 (build 7302)														
### A Block														
SOURCELONG:Is This It	SOURCESHORT:Is This It	SOURCEDATE:2007-03												
														
SOURCELONG:Spell Compendium	SOURCESHORT:SC													
######## Other sources have changes, check each one.														
### A Block														
# Spell Name				Output Name							Classes of caster			
Absorb Weapon.MOD	CLASSES:Assassin=2		
Absorption.MOD	CLASSES:Sorcerer=9|Wizardry ~ Advanced=9	
Abyssal Army.MOD	CLASSES:Canonry ~ Advanced,Sorcerer=9|Wizardry ~ Advanced=9		
Accelerated Movement.MOD	CLASSES:Wizardry ~ Basic,Wicca ~ Basic,Sorcerer=1|Wizardry ~ Advanced=1			
Acid Breath.MOD	CLASSES:Sorcerer=3|Wizardry ~ Advanced=3	
Acid Sheath.MOD	CLASSES:Sorcerer=5|Wizardry ~ Advanced=5	
Acid Storm.MOD	CLASSES:Sorcerer=6|Wizardry ~ Advanced=6	
Aid (Mass).MOD	CLASSES:Canonry ~ Advanced=3				
Aiming at the Target.MOD	CLASSES:Sorcerer=2|Wizardry ~ Advanced=2			
Air Breathing.MOD	CLASSES:Canonry ~ Advanced,Wicca ~ Advanced,Sorcerer=3|Wizardry ~ Advanced=3		
Alarm (Greater).MOD	CLASSES:Wizardry ~ Basic,Sorcerer=2|Wizardry ~ Advanced=2						
Align Fang.MOD	CLASSES:Wicca ~ Advanced,Wicca ~ Basic=2	
Align Fang (Mass).MOD	CLASSES:Wicca ~ Advanced,Wicca ~ Basic=3						
Align Weapon (Mass).MOD	CLASSES:Canonry ~ Advanced=3							
Allegro.MOD	CLASSES:Wizardry ~ Basic=3	
Amanuesis.MOD	CLASSES:Canonry ~ Advanced,Sorcerer=0|Wizardry ~ Advanced=0	
Amorphous Form.MOD	CLASSES:Assassin,Sorcerer=3|Wizardry ~ Advanced=3		
Amplify.MOD	CLASSES:Wizardry ~ Basic=1	
Analyze Portal.MOD	CLASSES:Wizardry ~ Basic,Sorcerer=3|Wizardry ~ Advanced=3		
Anarchic Storm.MOD	CLASSES:Canonry ~ Advanced=3		
Anarchic Water.MOD	CLASSES:Canonry ~ Advanced=1		
Angelskin.MOD	CLASSES:Canonry ~ Basic=2	
Anger of the Noonday Sun.MOD	CLASSES:Wicca ~ Advanced=6				
